,flux,flux_err,lum,lum_err,radius,radius_err,temp,temp_err,jd,band,sub,site,phase,filter
45,2.8438595610787943e-17,1.0438434108227923e-17,,,,,,,2459040.8753935,B,True,88,46.24539350019768,B
46,2.668839501260522e-17,1.2801614074950444e-17,,,,,,,2459041.8753935,B,True,88,47.24539350019768,B
47,2.6392176715167837e-17,1.4459676327472237e-17,,,,,,,2459042.8753935,B,True,88,48.24539350019768,B
48,2.7269642663137517e-17,1.5302157415715654e-17,,,,,,,2459043.8753935,B,True,88,49.24539350019768,B
49,2.8390752686811277e-17,1.5055024372370243e-17,,,,,,,2459044.8753935,B,True,88,50.24539350019768,B
50,2.894733589585505e-17,1.3777176675693777e-17,,,,,,,2459045.8753935,B,True,88,51.24539350019768,B
51,2.8785447903195026e-17,1.1208838923761425e-17,,,,,,,2459046.8753935,B,True,88,52.24539350019768,B
52,2.8177916471681385e-17,7.376501763072281e-18,,,,,,,2459047.8753935,B,True,88,53.24539350019768,B
53,2.7256068857508217e-17,4.3139552328870126e-18,,,,,,,2459048.8753935,B,True,88,54.24539350019768,B
54,2.5854829004167304e-17,6.3112945981792864e-18,,,,,,,2459049.8753935,B,True,88,55.24539350019768,B
55,2.433999323553875e-17,9.644726077992912e-18,,,,,,,2459050.8753935,B,True,88,56.24539350019768,B
56,2.339972156483692e-17,1.2297617137505157e-17,,,,,,,2459051.8753935,B,True,88,57.24539350019768,B
57,2.3014069900821865e-17,1.4484388019696066e-17,,,,,,,2459052.8753935,B,True,88,58.24539350019768,B
58,2.3093414778205046e-17,1.6488413086090684e-17,,,,,,,2459053.8753935,B,True,88,59.24539350019768,B
59,2.392798639776276e-17,1.837647389598324e-17,,,,,,,2459054.8753935,B,True,88,60.24539350019768,B
60,2.541945294334405e-17,1.9959718764191626e-17,,,,,,,2459055.8753935,B,True,88,61.24539350019768,B
61,2.7210073653391522e-17,2.130908654211818e-17,,,,,,,2459056.8753935,B,True,88,62.24539350019768,B
62,2.900581073914512e-17,2.306004117223533e-17,,,,,,,2459057.8753935,B,True,88,63.24539350019768,B
63,3.0383376356790846e-17,2.5991189963631213e-17,,,,,,,2459058.8753935,B,True,88,64.24539350019768,B
64,3.1028336597062966e-17,3.005544866430943e-17,,,,,,,2459059.8753935,B,True,88,65.24539350019768,B
65,3.08763358323697e-17,3.424898771221695e-17,,,,,,,2459060.8753935,B,True,88,66.24539350019768,B
66,3.0037854633748967e-17,3.7429388100407346e-17,,,,,,,2459061.8753935,B,True,88,67.24539350019768,B
67,2.873129430280804e-17,3.8826471066035777e-17,,,,,,,2459062.8753935,B,True,88,68.24539350019768,B
68,2.7232278541815648e-17,3.81618529727135e-17,,,,,,,2459063.8753935,B,True,88,69.24539350019768,B
69,2.5831771756255878e-17,3.5657696642390765e-17,,,,,,,2459064.8753935,B,True,88,70.24539350019768,B
70,2.4793969744939297e-17,3.203728264980224e-17,,,,,,,2459065.8753935,B,True,88,71.24539350019768,B
71,2.431080435696218e-17,2.844391546753652e-17,,,,,,,2459066.8753935,B,True,88,72.24539350019768,B
72,2.4429029536504278e-17,2.600713796627201e-17,,,,,,,2459067.8753935,B,True,88,73.24539350019768,B
73,2.4929472739480836e-17,2.5026517163013285e-17,,,,,,,2459068.8753935,B,True,88,74.24539350019768,B
74,2.541887394770715e-17,2.4911680195442052e-17,,,,,,,2459069.8753935,B,True,88,75.24539350019768,B
75,2.5980211549820803e-17,2.50892533640316e-17,,,,,,,2459070.8753935,B,True,88,76.24539350019768,B
76,2.695042858117226e-17,2.528714094061471e-17,,,,,,,2459071.8753935,B,True,88,77.24539350019768,B
77,2.7966520502970175e-17,2.5295859644774057e-17,,,,,,,2459072.8753935,B,True,88,78.24539350019768,B
78,2.8547248411022776e-17,2.5166465272573438e-17,,,,,,,2459073.8753935,B,True,88,79.24539350019768,B
79,2.876400888518277e-17,2.511608725890393e-17,,,,,,,2459074.8753935,B,True,88,80.24539350019768,B
80,2.8623059889169574e-17,2.5238450030636177e-17,,,,,,,2459075.8753935,B,True,88,81.24539350019768,B
81,2.8000253542025854e-17,2.5340094499594187e-17,,,,,,,2459076.8753935,B,True,88,82.24539350019768,B
82,2.689603376407066e-17,2.5254414676515858e-17,,,,,,,2459077.8753935,B,True,88,83.24539350019768,B
