,flux,flux_err,mag,mag_err,jd,band,sub,site,phase,filter
88,2.3652727747708122e-17,2.6184976632979842e-17,20.998133236169394,1.2019847898114937,2459083.8753935,B,True,88,89.24539350019768,B
89,9.712361278372093e-17,3.619069112383243e-18,19.211570182123335,0.04050398745763459,2458995.8753935,g,True,88,1.2453935001976788,g
90,1.6526559860336631e-16,2.4022346085597763e-18,18.634294569474974,0.015793593265318637,2458996.8753935,g,True,88,2.245393500197679,g
91,2.5098257105227795e-16,2.3751644081124582e-18,18.18054782875337,0.010275005997444422,2458997.8753935,g,True,88,3.245393500197679,g
92,3.407533346550396e-16,3.6481285663557906e-18,17.848489094231258,0.011623309651822226,2458998.8753935,g,True,88,4.245393500197679,g
93,4.186980997954688e-16,4.758668105324454e-18,17.62479873342521,0.012339664674465812,2458999.8753935,g,True,88,5.245393500197679,g
94,4.744026430104721e-16,5.933068272084669e-18,17.48916467032066,0.01357829746581997,2459000.8753935,g,True,88,6.245393500197679,g
95,5.037864635981907e-16,7.615455196130576e-18,17.423908961134465,0.016412248944832074,2459001.8753935,g,True,88,7.245393500197679,g
96,5.100678310065218e-16,9.328580812048837e-18,17.410454188078532,0.01985695451358863,2459002.8753935,g,True,88,8.245393500197679,g
97,5.005828714785089e-16,1.0565674367533466e-17,17.430834913487267,0.02291649291917623,2459003.8753935,g,True,88,9.245393500197679,g
98,4.81820812821208e-16,1.0820705108408056e-17,17.47231215235914,0.024383438340778815,2459004.8753935,g,True,88,10.245393500197679,g
99,4.578903102000122e-16,9.937051193671605e-18,17.527623514527857,0.023562248728851834,2459005.8753935,g,True,88,11.245393500197679,g
100,4.308356301022468e-16,8.222383707514423e-18,17.593749285054436,0.020720573124366686,2459006.8753935,g,True,88,12.245393500197679,g
101,4.01405982646619e-16,6.596639484964025e-18,17.670570202087248,0.01784255670539934,2459007.8753935,g,True,88,13.245393500197679,g
102,3.695929526468383e-16,5.873222257242599e-18,17.76022282819127,0.01725344243124568,2459008.8753935,g,True,88,14.245393500197679,g
103,3.3502946337919883e-16,4.7366123455831155e-18,17.86682804817828,0.015349303260968117,2459009.8753935,g,True,88,15.245393500197679,g
104,2.9770040772996347e-16,3.1623185535458818e-18,17.99509207558454,0.011532703553981906,2459010.8753935,g,True,88,16.24539350019768,g
105,2.594324736743216e-16,3.0494642288516036e-18,18.14448386990054,0.012762825925418685,2459011.8753935,g,True,88,17.24539350019768,g
106,2.2535593085249917e-16,2.972310344845543e-18,18.297369764954706,0.014320593303632001,2459012.8753935,g,True,88,18.24539350019768,g
107,1.994662360027317e-16,3.4718641814176826e-18,18.429862963249615,0.018899566294863716,2459013.8753935,g,True,88,19.24539350019768,g
108,1.8001645586288876e-16,4.3854909829181454e-18,18.541252899725666,0.026451517737989472,2459014.8753935,g,True,88,20.24539350019768,g
109,1.6418549762476603e-16,4.6888672272381365e-18,18.641194830697856,0.031007116569248597,2459015.8753935,g,True,88,21.24539350019768,g
