,mag,mag_err,jd,band,sub,site,phase,filter
147,15.73,0.01,2451003.69,R,True,66,73.68999999994412,R
148,16.85,0.02,2451003.69,B,True,66,73.68999999994412,B
149,16.06,0.01,2451003.69,V,True,66,73.68999999994412,V
150,16.08,0.01,2451004.8,V,True,66,74.79999999981374,V
151,15.75,0.01,2451004.8,R,True,66,74.79999999981374,R
152,16.87,0.01,2451004.8,B,True,66,74.79999999981374,B
153,16.1,0.01,2451005.7,V,True,66,75.70000000018626,V
154,16.87,0.02,2451005.7,B,True,66,75.70000000018626,B
155,15.78,0.01,2451005.7,R,True,66,75.70000000018626,R
156,16.89,0.01,2451006.72,B,True,66,76.72000000020489,B
157,16.12,0.01,2451006.72,V,True,66,76.72000000020489,V
158,15.8,0.01,2451006.72,R,True,66,76.72000000020489,R
159,16.14,0.01,2451007.6,V,True,66,77.60000000009313,V
160,15.82,0.01,2451007.6,R,True,66,77.60000000009313,R
161,16.9,0.01,2451007.6,B,True,66,77.60000000009313,B
162,16.16,0.01,2451008.72,V,True,66,78.72000000020489,V
163,15.84,0.01,2451008.72,R,True,66,78.72000000020489,R
164,16.92,0.01,2451008.72,B,True,66,78.72000000020489,B
165,15.99,0.01,2451015.57,R,True,66,85.56999999983236,R
166,17.02,0.01,2451015.57,B,True,66,85.56999999983236,B
167,16.29,0.01,2451015.57,V,True,66,85.56999999983236,V
168,17.71,0.02,2451059.57,B,True,66,129.56999999983236,B
169,16.85,0.01,2451059.57,R,True,66,129.56999999983236,R
170,17.14,0.01,2451059.57,V,True,66,129.56999999983236,V
171,17.35,0.07,2451069.0,V,True,66,139.0,V
172,17.04,0.07,2451069.0,R,True,66,139.0,R
173,17.33,0.01,2451088.55,R,True,66,158.54999999981374,R
174,18.19,0.02,2451088.55,B,True,66,158.54999999981374,B
175,17.69,0.01,2451088.55,V,True,66,158.54999999981374,V
176,18.72,0.07,2451143.0,V,True,66,213.0,V
177,18.12,0.07,2451143.0,R,True,66,213.0,R
178,19.85,0.06,2451255.0,R,True,66,325.0,R
179,21.18,0.08,2451255.0,B,True,66,325.0,B
180,20.76,0.06,2451255.0,V,True,66,325.0,V
181,20.19,0.04,2451276.0,R,True,66,346.0,R
182,21.53,0.05,2451276.0,B,True,66,346.0,B
183,21.11,0.05,2451276.0,V,True,66,346.0,V
184,20.24,0.07,2451285.0,R,True,66,355.0,R
185,21.63,0.1,2451285.0,B,True,66,355.0,B
186,21.26,0.08,2451285.0,V,True,66,355.0,V
187,21.74,0.05,2451319.0,V,True,66,389.0,V
188,22.16,0.05,2451319.0,B,True,66,389.0,B
189,20.96,0.05,2451319.0,R,True,66,389.0,R
