,mag,mag_err,jd,band,filter,phase,sub,site
197,20.2618987303382,0.1310943959438437,2459056.7745833,g,g,60.269011657442114,True,0
198,20.39336853146319,0.1277152724156599,2459056.7755208,g,g,60.269920863002326,True,0
199,20.237551868753066,0.122526149820687,2459057.7675926,g,g,61.2320511678494,True,0
200,20.84806307155968,0.2103655512382388,2459067.6971759,g,g,70.86195195525053,True,0
201,20.57635218552333,0.1404222886560737,2459068.6941782,g,g,71.82886395373279,True,0
202,20.544590794923,0.1474640383033925,2459068.6951042,g,g,71.82976200639989,True,0
203,20.521038771428938,0.134190864183695,2459069.6845139,g,g,72.78931055558529,True,0
204,20.796567381677907,0.1603023592365141,2459070.7439468,g,g,73.81676895038422,True,0
205,20.318621415467927,0.1236760820854784,2459072.7443171,g,g,75.75676652574815,True,0
206,20.68471858970507,0.173537889457797,2459073.7496875,g,g,76.73179406853141,True,0
207,20.53723286939855,0.1550348368789689,2459074.7282176,g,g,77.68079137251264,True,0
208,20.428393413706527,0.1388489873444409,2459074.7291435,g,g,77.68168932808418,True,0
209,20.53306036818689,0.1521901018222326,2459075.6953819,g,g,78.61876590497877,True,0
210,20.359229415995568,0.1435188340129969,2459077.7137037,g,g,80.57617319030508,True,0
211,20.68550900260394,0.1941326053660496,2459077.7146528,g,g,80.57709364585398,True,0
212,20.799538782920955,0.1918737218274765,2459078.7240162,g,g,81.55599367671222,True,0
213,20.759915304333266,0.1765039471094374,2459079.6852431,g,g,82.4882100046936,True,0
214,20.562329093605527,0.1837367046016203,2459080.7288426,g,g,83.50031286358023,True,0
215,20.460761981040477,0.1606945559068005,2459081.7117014,g,g,84.45350822428439,True,0
216,20.72230780210365,0.1995221507805703,2459081.7145023,g,g,84.45622459097636,True,0
217,20.80243527445487,0.1996937425690254,2459084.6804282,g,g,87.33263655059301,True,0
218,20.931073434445764,0.2089907097157508,2459085.7413889,g,g,88.36157663542289,True,0
219,20.600690038624027,0.1727490594457525,2459099.6634491,g,g,101.86345827869741,True,0
220,20.65899169677369,0.2522509190808599,2459109.7031366,g,g,111.60014023605407,True,0
221,20.81905978165829,0.2296211989141069,2459110.6512616,g,g,112.5196500895258,True,0
222,20.977387189696653,0.2361319355420165,2459111.6361806,g,g,113.47484347143221,True,0
223,20.91627141199335,0.2140164943213617,2459112.6461921,g,g,114.45437204206185,True,0
224,19.9113366151316,0.1528376637922559,2458994.8144676,r,r,0.17890022518511392,True,0
225,18.970576481838364,0.0677046192426551,2458995.7760417,r,r,1.1114532742559717,True,0
226,18.927616521230533,0.074626241497057,2458995.7869792,r,r,1.1220606718563824,True,0
227,18.422821122592445,0.0507398155863021,2458996.8069907,r,r,2.1112874349778212,True,0
228,18.426707998309315,0.0468769820977579,2458996.8079282,r,r,2.11219664053804,True,0
229,17.981220920591873,0.0447472509949072,2458997.8014815,r,r,3.0757637325569087,True,0
230,17.972736870355575,0.0423583229675399,2458997.802419,r,r,3.076672938117128,True,0
231,17.704656068619197,0.0410601289077459,2458998.8111111,r,r,4.054921929678198,True,0
232,17.733044164752698,0.0390660967529324,2458998.8121181,r,r,4.055898537623329,True,0
233,17.64562440909534,0.0305166656801007,2458999.8106829,r,r,5.024325878555411,True,0
234,17.559693785306838,0.0303513009586366,2458999.8505903,r,r,5.063028842352683,True,0
235,17.57040173578062,0.0347607701043982,2458999.8515278,r,r,5.0639380479129015,True,0
236,17.357810339332502,0.0317940509489323,2459000.8448495,r,r,6.027280529895235,True,0
237,17.40467308754112,0.0375023488969007,2459011.7598264,r,r,16.61283497552501,True,0
238,17.570173054430818,0.0302951496268612,2459013.815,r,r,18.605981845038286,True,0
239,17.63596226870462,0.0358965382456142,2459014.7615856,r,r,19.523998758941975,True,0
240,17.716472174346045,0.0368010701081307,2459015.818044,r,r,20.548572426052576,True,0
241,17.781167387942375,0.0395432965163693,2459016.7578009,r,r,21.459966735223283,True,0
242,17.87726986176302,0.0396592663421452,2459017.7906019,r,r,22.461597001279333,True,0
243,17.934492131687747,0.0420922225845395,2459018.7607523,r,r,23.402467510970858,True,0
244,18.048286761474525,0.0405378493449505,2459020.7789005,r,r,25.359706435752432,True,0
245,18.184086918561377,0.0428240257630349,2459022.7534606,r,r,27.274672783141256,True,0
246,18.31369782106128,0.0548200608365013,2459023.7983796,r,r,28.288055318643632,True,0
247,18.28564241823593,0.0504233008729966,2459024.7573611,r,r,29.21809401443773,True,0
248,18.25547659352712,0.0678800176636615,2459025.6958218,r,r,30.128231243614014,True,0
249,18.591483830695168,0.0573574898028926,2459026.7883912,r,r,31.187826053229504,True,0
250,18.60210066075033,0.0693252623598228,2459027.7702894,r,r,32.14008980549164,True,0
251,18.62714196694696,0.0548091540257146,2459028.7322106,r,r,33.07297947855642,True,0
252,19.159851805621365,0.0890631372853736,2459038.7255093,r,r,42.76467268601949,True,0
253,19.04192653327188,0.0829186060443755,2459039.8104398,r,r,43.816859143478965,True,0
254,19.11647424475491,0.0685274122739703,2459041.7558218,r,r,45.70352800835127,True,0
255,19.26533022223992,0.1060402050349486,2459048.749294,r,r,52.48593180262613,True,0
256,19.18437715683713,0.0905059616610462,2459049.8444097,r,r,53.54799606265922,True,0
257,19.36486884797116,0.0911895673734376,2459050.7761458,r,r,54.45161164571396,True,0
258,19.529618829223505,0.1350713236603394,2459050.7780093,r,r,54.45341890394128,True,0
259,19.273138113638076,0.1046580341294472,2459051.8515509,r,r,55.49456018700387,True,0
260,19.38177205477329,0.1060956274520942,2459052.7562153,r,r,56.37192111495954,True,0
261,19.344655586946523,0.09521636519144,2459053.8219329,r,r,57.405474532879865,True,0
262,19.42625932876737,0.1106549380486422,2459053.8229398,r,r,57.40645104372943,True,0
263,19.43136541576346,0.1009219777787561,2459054.8525694,r,r,58.40500562493111,True,0
264,19.411741098996167,0.1062020720071767,2459055.8243171,r,r,59.34742522703851,True,0
265,19.436937353348927,0.1158621503916856,2459056.838831,r,r,60.33132031203138,True,0
266,19.81077683824644,0.2470210064300817,2459056.8498148,r,r,60.34197261249095,True,0
267,19.453803219546398,0.1178461291251464,2459057.821875,r,r,61.284695282817346,True,0
268,19.793751833303144,0.1233421811839965,2459067.677963,r,r,70.84331891525977,True,0
269,19.93405312654033,0.1711482042336313,2459068.739537,r,r,71.87285379034664,True,0
270,19.81160993934534,0.176432668303132,2459069.7176505,r,r,72.82144706749742,True,0
271,19.736784173010324,0.1547547220209206,2459070.7081019,r,r,73.78200587704681,True,0
272,19.58946581473828,0.1768990416261915,2459071.695544,r,r,74.73964620984508,True,0
273,19.64797068301753,0.1232775175387422,2459071.6964815,r,r,74.7405554154053,True,0
274,19.777334108679057,0.1312843769301904,2459072.6940046,r,r,75.70797249597337,True,0
275,19.87896412844196,0.1580601915188392,2459075.7164005,r,r,78.63915014744457,True,0
276,19.703505868648133,0.16954050270406,2459076.7069907,r,r,79.59984356847589,True,0
277,20.02563605384715,0.1955804806399235,2459077.7617014,r,r,80.62272228260323,True,0
278,19.992052919280862,0.2200037431014899,2459077.7626389,r,r,80.62363148816345,True,0
279,19.856255039526012,0.1452057704497093,2459078.7865972,r,r,81.61668593404788,True,0
280,19.709435480322508,0.1746608181210176,2459079.7290162,r,r,82.53066199888025,True,0
281,20.10645860053741,0.2409788215784743,2459080.683044,r,r,83.4558965010618,True,0
282,19.928252352592192,0.1817073149559188,2459081.7004398,r,r,84.44258650802469,True,0
283,19.812400744922407,0.1539432677759158,2459081.7013773,r,r,84.44349571358491,True,0
284,19.63484925435862,0.1453067922496644,2459082.6739236,r,r,85.38668981312665,True,0
285,19.89929176140607,0.1783277610342275,2459086.6743981,r,r,89.26642689513864,True,0
286,20.19529032220445,0.2279579339194226,2459099.693669,r,r,101.89276611867349,True,0
287,20.048397742660185,0.2380489015264272,2459107.6341898,r,r,109.59363585228238,True,0
288,19.06078071680796,0.1540235521873772,2458995.8753935,i,i,1.2078065600489554,True,0
289,17.808111285764557,0.0714154437716116,2458999.8608218,i,i,5.072951547785453,True,0
290,17.41707245670336,0.0530590003797802,2459008.8877083,i,i,13.827399623618067,True,0
291,17.519291190649675,0.0501943593782237,2459012.8878935,i,i,17.706856136936807,True,0
292,17.78140311243248,0.0451389608434153,2459017.8355324,i,i,22.5051714639785,True,0
293,18.28713947625532,0.0740309535390183,2459026.8142245,i,i,31.212879684538027,True,0
294,18.52915277301153,0.1076665316265086,2459031.7722222,i,i,36.02124117469807,True,0
295,18.60367077960919,0.1192861244608353,2459035.750787,i,i,39.87972980863876,True,0
296,18.844077855257822,0.1295121796163491,2459039.8151389,i,i,43.821416421268744,True,0
297,19.094261465254736,0.1496487387095701,2459043.7951852,i,i,47.68134184192962,True,0
298,19.35644780255157,0.2091774019588855,2459047.705706,i,i,51.47384009618101,True,0
299,19.235068678505208,0.1657120927103533,2459051.7727431,i,i,55.418130867354456,True,0
300,19.46035535015394,0.2133624886362218,2459055.7534838,i,i,59.27872973109751,True,0
301,19.42535290928938,0.2363548710486571,2459059.7531944,i,i,63.15772596809402,True,0
302,19.75422604329921,0.2570384808346645,2459063.7112847,i,i,66.99635803782445,True,0
303,19.66351293208998,0.2758406970394711,2459067.7325694,i,i,70.89627725224307,True,0
304,19.50493327268876,0.2136033694880283,2459072.787338,i,i,75.79848902155197,True,0
305,19.957835879783183,0.3192409524198214,2459080.7566898,i,i,83.52731961368346,True,0
